Ranní budíček písní	Vzbudíš celý tábor vlastní písničkou	2	Ne	🗣️ Mluva
Táborová scénka	Sehrajete krátkou scénku u večerního ohně	3	Ano	🎭 Scénka
Nosič vody	Celý den nosíš kbelík s vodou	1	Ne	💪 Výdrž
Mluvíš jen v rýmech	Celý den mluvíš pouze v rýmech	4	Ne	🗣️ Mluva
Šifrovaný vzkaz	Vyluštíš šifru a najdeš svůj další úkol	3	Ne	🧠 Hlava
Tichá dohoda	Celé odpoledne spolu nepromluvíte	2	Ano	🤐 Výzva
Kuchařův pomocník	Pomáháš s přípravou svačiny	1	Ne	
Noční hlídka	Hlídáte symbolický oheň třicet minut	5	Ano	💪 Výdrž
Táborový reportér	Napíšeš krátkou zprávu o dnešním dni	2	Ne	✍️ Tvorba
Mistr přezdívek	Vymyslíš přezdívku každému ve své skupině	3	Ne	🗣️ Mluva
Sochař z klacků	Postavíte sochu jen z přírodnin	4	Ano	🎨 Tvorba
Rychlá nožka	Doběhneš pro poštu do vedlejšího tábora	2	Ne	💪 Výdrž
